features/carat,features/clarity,features/color,features/cut,features/depth,features/table,features/x,features/y,features/z,label,id
0.7,1,2,2,58.8,57.0,5.85,5.89,3.45,0,53838
1.05,1,1,3,62.3,56.0,6.54,6.47,4.05,1,53839
1.27,3,5,2,62.6,59.0,6.86,6.95,4.32,1,53840
0.9,2,2,1,57.6,60.0,6.34,6.37,3.66,1,53841
0.91,2,4,1,63.8,60.0,6.0,6.16,3.88,1,53842
1.09,2,3,2,60.2,60.0,6.66,6.7,4.02,1,53843
0.72,2,6,2,58.3,62.0,5.87,5.93,3.44,0,53844
0.32,2,0,1,63.7,55.0,4.31,4.33,2.75,0,53845
0.24,5,1,2,59.7,60.0,4.08,4.1,2.44,0,53846
0.32,2,0,1,63.8,55.0,4.36,4.35,2.78,0,53847
0.51,7,0,4,62.1,55.0,5.12,5.13,3.19,1,53848
0.4,4,2,1,63.0,62.0,4.65,4.68,2.94,0,53849
2.04,1,2,3,60.2,58.0,8.17,8.24,4.94,1,53850
1.0,3,3,1,63.7,57.0,6.32,6.28,4.01,1,53851
0.38,2,3,2,61.4,61.0,4.62,4.66,2.85,0,53852
1.13,1,1,3,59.4,62.0,6.83,6.78,4.04,1,53853
0.34,2,0,4,60.6,56.0,4.51,4.54,2.74,0,53854
0.41,6,1,2,60.0,61.0,4.78,4.86,2.89,0,53855
1.33,3,5,2,62.5,61.0,6.99,7.02,4.38,1,53856
0.71,1,6,0,65.5,61.0,5.54,5.49,3.61,0,53857
0.32,2,4,1,63.7,55.0,4.3,4.33,2.75,0,53858
2.0,2,6,3,62.2,59.0,7.97,7.92,4.94,1,53859
1.51,3,2,4,62.2,53.0,7.31,7.35,4.56,1,53860
0.52,3,0,4,60.3,56.0,5.27,5.24,3.17,0,53861
0.53,5,3,3,60.8,58.0,5.25,5.18,3.17,0,53862
0.5,2,5,2,62.2,60.0,5.02,5.05,3.13,0,53863
0.7,4,3,4,62.6,56.0,5.65,5.7,3.55,1,53864
0.9,3,1,0,65.0,55.0,6.11,6.04,3.95,1,53865
0.57,5,2,2,60.7,58.0,5.32,5.35,3.24,0,53866
0.5,3,1,4,62.0,56.0,5.1,5.06,3.15,0,53867
0.41,2,3,4,61.8,55.0,4.8,4.81,2.97,0,53868
0.41,2,2,1,63.3,58.0,4.71,4.74,2.99,0,53869
1.24,6,3,4,62.3,56.0,6.86,6.89,4.28,1,53870
0.42,4,3,2,60.6,58.0,4.82,4.95,2.96,0,53871
0.54,3,1,1,63.1,58.0,5.13,5.21,3.26,0,53872
1.06,3,4,3,62.6,58.0,6.54,6.49,4.08,1,53873
0.31,2,3,2,61.9,56.0,4.34,4.38,2.7,0,53874
1.03,1,0,4,62.5,55.0,6.41,6.48,4.03,1,53875
0.7,1,0,1,59.2,60.0,5.75,5.78,3.41,0,53876
0.28,4,2,2,62.1,59.0,4.16,4.21,2.6,0,53877
0.9,1,1,4,61.7,56.0,6.21,6.26,3.85,1,53878
0.74,2,4,3,62.4,58.0,5.75,5.7,3.57,0,53879
1.59,3,4,3,62.1,58.0,7.42,7.48,4.63,1,53880
0.27,3,5,4,62.1,56.0,4.14,4.18,2.58,0,53881
1.31,5,3,4,59.2,59.0,7.12,7.18,4.23,1,53882
0.4,1,3,2,63.2,56.0,4.73,4.7,2.98,0,53883
0.82,2,0,2,61.3,56.0,6.02,6.06,3.7,1,53884
0.32,3,1,3,61.2,59.0,4.4,4.43,2.7,0,53885
1.02,1,4,2,63.4,54.0,6.37,6.43,4.06,1,53886
0.28,6,1,1,64.6,55.0,4.15,4.18,2.69,0,53887
0.83,1,3,3,62.9,57.0,5.99,5.96,3.76,0,53888
0.9,2,3,2,63.8,53.0,6.1,6.16,3.91,1,53889
1.01,2,0,2,62.1,59.0,6.37,6.41,3.97,1,53890
0.62,4,3,1,62.5,60.8,5.37,5.47,3.39,0,53891
0.33,7,4,3,61.8,60.0,4.44,4.4,2.73,0,53892
2.14,3,6,2,62.8,57.0,8.27,8.16,5.16,1,53893
0.43,5,3,2,62.3,60.0,4.78,4.85,3.0,0,53894
0.41,2,0,3,60.5,60.0,4.77,4.81,2.9,0,53895
1.3,4,4,4,61.3,59.0,6.97,7.03,4.29,1,53896
0.57,2,0,3,60.2,60.0,5.36,5.34,3.22,0,53897
2.1,6,6,3,61.3,58.0,8.29,8.24,5.07,1,53898
2.04,1,2,3,60.2,58.0,8.24,8.17,4.94,1,53899
0.52,3,0,4,62.3,56.0,5.11,5.16,3.2,0,53900
1.21,0,1,1,63.3,63.0,6.67,6.72,4.24,1,53901
0.78,3,2,2,62.2,58.0,5.86,5.9,3.66,1,53902
0.5,2,0,3,61.1,59.0,5.08,5.04,3.09,0,53903
1.06,5,3,4,61.7,56.0,6.59,6.56,4.06,1,53904
0.55,2,1,4,62.3,56.0,5.23,5.26,3.27,0,53905
1.01,3,2,2,63.3,57.0,6.41,6.33,4.03,1,53906
0.56,3,2,4,61.6,55.0,5.29,5.32,3.27,0,53907
0.75,1,6,4,60.8,57.0,5.91,5.87,3.58,0,53908
0.33,5,5,3,61.0,58.0,4.46,4.42,2.71,0,53909
0.55,1,1,4,61.8,55.0,5.26,5.29,3.26,0,53910
1.07,2,2,3,61.7,58.0,6.54,6.61,4.06,1,53911
0.53,7,2,4,61.3,57.0,5.21,5.19,3.19,1,53912
1.21,5,2,2,61.0,58.0,6.89,6.92,4.21,1,53913
0.41,4,2,4,61.8,56.0,4.75,4.79,2.95,0,53914
0.89,1,1,4,62.4,56.0,6.04,6.08,3.78,1,53915
2.01,2,5,1,64.1,62.0,7.94,7.85,5.06,1,53916
0.33,3,2,3,60.8,58.0,4.47,4.44,2.71,0,53917
1.21,3,3,4,61.2,57.0,6.9,6.85,4.21,1,53918
0.31,7,3,4,61.3,56.0,4.38,4.4,2.69,0,53919
0.37,2,4,1,63.2,57.0,4.54,4.58,2.88,0,53920
1.51,2,5,4,62.2,56.0,7.36,7.27,4.55,1,53921
0.35,4,3,2,62.5,55.0,4.51,4.55,2.83,0,53922
1.1,2,3,1,63.4,57.0,6.52,6.55,4.14,1,53923
0.5,2,1,1,63.8,55.0,5.04,5.09,3.23,0,53924
1.05,3,3,4,61.8,57.0,6.53,6.48,4.02,1,53925
1.02,2,2,3,62.2,58.0,6.4,6.46,4.0,1,53926
0.52,4,3,4,61.8,55.0,5.21,5.17,3.21,0,53927
1.04,1,0,0,64.9,56.0,6.39,6.34,4.13,1,53928
1.0,3,2,1,63.8,58.0,6.28,6.32,4.02,1,53929
1.21,4,4,2,63.4,55.0,6.76,6.81,4.3,1,53930
1.51,2,3,2,63.1,56.0,7.27,7.22,4.57,1,53931
1.02,5,2,3,60.9,59.0,6.44,6.56,3.96,1,53932
2.02,3,6,4,62.0,56.0,8.06,8.13,5.02,1,53933
0.39,5,5,4,62.3,54.0,4.66,4.69,2.91,0,53934
0.53,4,2,4,61.2,56.0,5.22,5.24,3.2,0,53935
1.02,2,4,2,62.9,59.0,6.38,6.41,4.02,1,53936
0.93,2,4,3,61.8,59.0,6.27,6.23,3.86,1,53937
0.3,4,5,4,62.4,54.0,4.3,4.32,2.69,0,53938
0.36,3,2,4,61.5,55.0,4.6,4.57,2.82,0,53939
0.7,1,2,2,60.7,58.0,5.73,5.77,3.49,0,53940
